,world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
246,203-300,The University of Reading,20-30,,0.0,0.0,13.6,17.9,31.0,16.3,2005
247,203-300,The University of Texas Health Science Center at San Antonio,91-119,,0.0,0.0,22.2,9.8,27.7,15.7,2005
248,203-300,The University of Texas Medical Branch at Galveston,91-119,,0.0,0.0,19.2,8.5,30.5,15.7,2005
249,203-300,Thomas Jefferson University,91-119,,0.0,0.0,15.7,14.5,29.3,15.4,2005
250,203-300,Trinity College Dublin,1,,15.4,14.4,0.0,11.9,27.4,14.8,2005
251,203-300,Tulane University,91-119,,0.0,0.0,15.7,11.4,30.3,14.5,2005
252,203-300,Umea University,6-9,,0.0,0.0,15.7,17.1,31.3,13.6,2005
253,203-300,University of Alaska - Fairbanks,91-119,,0.0,0.0,15.7,17.9,19.5,23.1,2005
254,203-300,University of Antwerp,5-6,,0.0,0.0,11.1,11.3,33.6,24.3,2005
255,203-300,University of Bochum,17-23,,0.0,0.0,11.1,15.0,39.3,18.5,2005
256,203-300,University of Bologna,6-9,,0.0,0.0,7.9,10.6,48.9,15.5,2005
257,203-300,University of Bordeaux 1,9-13,,8.9,0.0,13.6,11.4,27.0,14.0,2005
258,203-300,University of Buenos Aires,1,,21.7,0.0,0.0,9.0,36.6,17.3,2005
259,203-300,University of Cape Town,1,,25.1,0.0,11.1,11.1,30.3,16.3,2005
260,203-300,University of Colorado Health Science Center,91-119,,0.0,0.0,15.7,17.1,34.0,17.5,2005
261,203-300,University of Durham,20-30,,0.0,0.0,19.2,15.7,33.7,17.8,2005
262,203-300,University of Erlangen-Nuremberg,17-23,,0.0,0.0,13.6,9.8,41.1,18.9,2005
263,203-300,University of Florence,6-9,,0.0,0.0,13.6,16.4,40.4,15.8,2005
264,203-300,University of Genova,6-9,,0.0,0.0,15.7,5.4,34.4,14.2,2005
265,203-300,University of Guelph,9-17,,0.0,0.0,13.6,11.0,32.9,15.8,2005
266,203-300,University of Halle-Wittenberg,17-23,,6.3,9.1,7.9,8.1,29.8,14.2,2005
